 is so sad for my apl friend,0
 i missed the new moon trailer,0
 omg its already o,1
 omgaga im sooo im gunna cry ive been at this dentist since i was suposed just get a crown put on mins,0
 i think mi bf is cheating on me tt,0
 or i just worry too much ,0
 juusst chillin,1
 sunny again work tomorrow | tv tonight,0
 handed in my uniform today i miss you already,1
 hmm i wonder how she my number ,1
 i must think about positive,0
 thanks to all the haters up in my face all day ,1
 this weekend has sucked so far,0
 jb isnt showing in australia any more,0
 ok thats it you win,0
 lt,0
 awhhe man im completely useless rt now funny all i can do is twitter ,0
 feeling strangely fine now im gonna go listen to some semisonic to celebrate,1
 huge roll of thunder just nowso scary,0
 i just cut my beard off its only been growing for well over a year im gonna start it over is happy in the meantime,0
 very sad about iran,0
 wompp wompp,0
 youre the only one who can see this cause no one else is following me this is for you because youre pretty awesome,1
 lt,0
 headed to hospitol had to pull out of the golf tourny in rd place i think i reripped something yeah that ,0
 boring whats wrong with him please tell me ,0
 cant be bothered i wish i could spend the rest of my life just sat here and going to gigs seriously,0
 feeeling like shit right now i really want to sleep but nooo i have hours of dancing and an art assignment to finish ,0
 goodbye exams hello alcohol tonight ,1
 i didnt realize it was that deep geez give a girl a warning atleast,0
 i hate it when any athlete appears to tear an acl on live television,0
 i miss you guys too i think im wearing skinny jeans a cute sweater and heels not really sure what are you doing today,0
 meet your meat ,0
 my horsie is moving on saturday morning,0
 no sat offneed to work days a week ,0
 really dont like doing my room its so boring sick of doing my wardrobe out cant waiit till i have my walk in one yay,0
 sox floyd was great but relievers need a scolding,0
 times by like a million,0
 uploading pictures on friendster ,1
 what type of a spaz downloads a virus my brother thats who \ msn is now fucked forever ,0
 amp,0
 so i wrote something last week and i got a call from someone in the new york office ,1
 enough said,0
 do i need to even say it do i well here i go anyways chris cornell in chicago tonight ,1
 health class what a joke,1
 lt,1
 it really makes me sad when i look at muslims reality now,0
 all time low shall be my motivation for the rest of the week,0
 and the entertainment is over someone complained properly experimental you say he should experiment with a melody,0
 another year of lakers thats neither magic nor fun ,0
 baddest day eveer ,0
 bathroom is clean now on to more enjoyable tasks,1
 boom boom pow,1
 but im proud,0
 congrats to helio though,0
 david must be hospitalized for five days end of july palatine tonsils i will probably never see katie in concert ,0
 friends are leaving me cause of this stupid love ,0
 go give ur mom a hug right now ,1
 going to see harry sunday happiness ,1
 hand quilting it is then,0
 hate u leysh tar ,0
 i always get what i want,1
 i bend backwards ,1
 i get off work soon i miss cody booo havent seen him in foreverr,1
 i hate allergies should i get my hair cut tomorrow im taking a public poll,1
 i love you guys so much that it hurts ,0
 i miss earl,0
 i miss new jersey,0
 i missed the first hour of sytycd last night and i cant find it online,0
 i need a u fix now,0
 i never thought id become second choice,0
 i think i may be too friendlylol o well,0
 i think manuel my basil plant only has days to live ,0
 i wanna be at home churchi wonder wht they are doing,0
 i wanna make my own pizza,0
 i want a gb harddrive or a inch tv or a new guitar anyonefeeling generous p x,0
 i want a hug,0
 i want miley to tour australia,0
 i wanted to sleep in this morning but a mean kid through a popsicle stick at me head i wish i could fly away like those squirrels,0
 i was too slow to get up tix,0
 i will send sunshine to northern ireland are you going swimming today ,0
 i wish i could go to t on the beach would be great to see amp,0
